data,subject,clip,label,onset_frame,corresponding_frame,offset_frame,onset_frame_path,corresponding_frame_path,offset_frame_path,data_sub,domain_label
CK+,S133,010,5,00000001,00000005,00000014,CK+/S133/010/S133_010_00000001.png,CK+/S133/010/S133_010_00000005.png,CK+/S133/010/S133_010_00000014.png,CK+_S133,0
CK+,S133,010,5,00000001,00000006,00000014,CK+/S133/010/S133_010_00000001.png,CK+/S133/010/S133_010_00000006.png,CK+/S133/010/S133_010_00000014.png,CK+_S133,0
CK+,S133,010,5,00000001,00000007,00000014,CK+/S133/010/S133_010_00000001.png,CK+/S133/010/S133_010_00000007.png,CK+/S133/010/S133_010_00000014.png,CK+_S133,0
CK+,S133,003,1,00000001,00000018,00000047,CK+/S133/003/S133_003_00000001.png,CK+/S133/003/S133_003_00000018.png,CK+/S133/003/S133_003_00000047.png,CK+_S133,0
CK+,S133,003,1,00000001,00000019,00000047,CK+/S133/003/S133_003_00000001.png,CK+/S133/003/S133_003_00000019.png,CK+/S133/003/S133_003_00000047.png,CK+_S133,0
CK+,S133,003,1,00000001,00000020,00000047,CK+/S133/003/S133_003_00000001.png,CK+/S133/003/S133_003_00000020.png,CK+/S133/003/S133_003_00000047.png,CK+_S133,0
CK+,S133,009,7,00000001,00000002,00000006,CK+/S133/009/S133_009_00000001.png,CK+/S133/009/S133_009_00000002.png,CK+/S133/009/S133_009_00000006.png,CK+_S133,0
CK+,S133,009,7,00000001,00000003,00000006,CK+/S133/009/S133_009_00000001.png,CK+/S133/009/S133_009_00000003.png,CK+/S133/009/S133_009_00000006.png,CK+_S133,0
CK+,S133,009,7,00000001,00000004,00000006,CK+/S133/009/S133_009_00000001.png,CK+/S133/009/S133_009_00000004.png,CK+/S133/009/S133_009_00000006.png,CK+_S133,0
CK+,S130,001,7,00000001,00000007,00000018,CK+/S130/001/S130_001_00000001.png,CK+/S130/001/S130_001_00000007.png,CK+/S130/001/S130_001_00000018.png,CK+_S130,0
CK+,S130,001,7,00000001,00000008,00000018,CK+/S130/001/S130_001_00000001.png,CK+/S130/001/S130_001_00000008.png,CK+/S130/001/S130_001_00000018.png,CK+_S130,0
CK+,S130,001,7,00000001,00000009,00000018,CK+/S130/001/S130_001_00000001.png,CK+/S130/001/S130_001_00000009.png,CK+/S130/001/S130_001_00000018.png,CK+_S130,0
CK+,S130,013,5,00000001,00000006,00000015,CK+/S130/013/S130_013_00000001.png,CK+/S130/013/S130_013_00000006.png,CK+/S130/013/S130_013_00000015.png,CK+_S130,0
CK+,S130,013,5,00000001,00000007,00000015,CK+/S130/013/S130_013_00000001.png,CK+/S130/013/S130_013_00000007.png,CK+/S130/013/S130_013_00000015.png,CK+_S130,0
CK+,S130,013,5,00000001,00000008,00000015,CK+/S130/013/S130_013_00000001.png,CK+/S130/013/S130_013_00000008.png,CK+/S130/013/S130_013_00000015.png,CK+_S130,0
CK+,S130,009,6,00000001,00000007,00000019,CK+/S130/009/S130_009_00000001.png,CK+/S130/009/S130_009_00000007.png,CK+/S130/009/S130_009_00000019.png,CK+_S130,0
CK+,S130,009,6,00000001,00000008,00000019,CK+/S130/009/S130_009_00000001.png,CK+/S130/009/S130_009_00000008.png,CK+/S130/009/S130_009_00000019.png,CK+_S130,0
CK+,S130,009,6,00000001,00000009,00000019,CK+/S130/009/S130_009_00000001.png,CK+/S130/009/S130_009_00000009.png,CK+/S130/009/S130_009_00000019.png,CK+_S130,0
CK+,S130,012,3,00000001,00000004,00000011,CK+/S130/012/S130_012_00000001.png,CK+/S130/012/S130_012_00000004.png,CK+/S130/012/S130_012_00000011.png,CK+_S130,0
CK+,S130,012,3,00000001,00000005,00000011,CK+/S130/012/S130_012_00000001.png,CK+/S130/012/S130_012_00000005.png,CK+/S130/012/S130_012_00000011.png,CK+_S130,0
CK+,S130,012,3,00000001,00000006,00000011,CK+/S130/012/S130_012_00000001.png,CK+/S130/012/S130_012_00000006.png,CK+/S130/012/S130_012_00000011.png,CK+_S130,0
CK+,S130,007,1,00000001,00000008,00000020,CK+/S130/007/S130_007_00000001.png,CK+/S130/007/S130_007_00000008.png,CK+/S130/007/S130_007_00000020.png,CK+_S130,0
CK+,S130,007,1,00000001,00000009,00000020,CK+/S130/007/S130_007_00000001.png,CK+/S130/007/S130_007_00000009.png,CK+/S130/007/S130_007_00000020.png,CK+_S130,0
CK+,S130,007,1,00000001,00000010,00000020,CK+/S130/007/S130_007_00000001.png,CK+/S130/007/S130_007_00000010.png,CK+/S130/007/S130_007_00000020.png,CK+_S130,0
CK+,S505,006,6,00000001,00000007,00000019,CK+/S505/006/S505_006_00000001.png,CK+/S505/006/S505_006_00000007.png,CK+/S505/006/S505_006_00000019.png,CK+_S505,0
CK+,S505,006,6,00000001,00000008,00000019,CK+/S505/006/S505_006_00000001.png,CK+/S505/006/S505_006_00000008.png,CK+/S505/006/S505_006_00000019.png,CK+_S505,0
CK+,S505,006,6,00000001,00000009,00000019,CK+/S505/006/S505_006_00000001.png,CK+/S505/006/S505_006_00000009.png,CK+/S505/006/S505_006_00000019.png,CK+_S505,0
CK+,S505,002,2,00000001,00000008,00000021,CK+/S505/002/S505_002_00000001.png,CK+/S505/002/S505_002_00000008.png,CK+/S505/002/S505_002_00000021.png,CK+_S505,0
CK+,S505,002,2,00000001,00000009,00000021,CK+/S505/002/S505_002_00000001.png,CK+/S505/002/S505_002_00000009.png,CK+/S505/002/S505_002_00000021.png,CK+_S505,0
CK+,S505,002,2,00000001,00000010,00000021,CK+/S505/002/S505_002_00000001.png,CK+/S505/002/S505_002_00000010.png,CK+/S505/002/S505_002_00000021.png,CK+_S505,0
CK+,S155,002,2,00000001,00000004,00000012,CK+/S155/002/S155_002_00000001.png,CK+/S155/002/S155_002_00000004.png,CK+/S155/002/S155_002_00000012.png,CK+_S155,0
CK+,S155,002,2,00000001,00000005,00000012,CK+/S155/002/S155_002_00000001.png,CK+/S155/002/S155_002_00000005.png,CK+/S155/002/S155_002_00000012.png,CK+_S155,0
CK+,S155,002,2,00000001,00000006,00000012,CK+/S155/002/S155_002_00000001.png,CK+/S155/002/S155_002_00000006.png,CK+/S155/002/S155_002_00000012.png,CK+_S155,0
CK+,S074,001,4,00000001,00000008,00000020,CK+/S074/001/S074_001_00000001.png,CK+/S074/001/S074_001_00000008.png,CK+/S074/001/S074_001_00000020.png,CK+_S074,0
