data,subject,clip,label,onset_frame,apex_frame,offset_frame,onset_frame_path,apex_frame_path,offset_frame_path,data_sub
smic,20,s20_ne_01,0,17581039,17581044,17581055,smic/HS_long/SMIC_HS_E/s20/s20_ne_01/reg_image17581039.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_01/reg_image17581044.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_01/reg_image17581055.jpg,smic_20
smic,20,s20_ne_01,0,17581039,17581045,17581055,smic/HS_long/SMIC_HS_E/s20/s20_ne_01/reg_image17581039.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_01/reg_image17581045.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_01/reg_image17581055.jpg,smic_20
smic,20,s20_ne_01,0,17581039,17581047,17581055,smic/HS_long/SMIC_HS_E/s20/s20_ne_01/reg_image17581039.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_01/reg_image17581047.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_01/reg_image17581055.jpg,smic_20
smic,20,s20_ne_01,0,17581039,17581048,17581055,smic/HS_long/SMIC_HS_E/s20/s20_ne_01/reg_image17581039.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_01/reg_image17581048.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_01/reg_image17581055.jpg,smic_20
smic,20,s20_ne_02,0,17581713,17581727,17581744,smic/HS_long/SMIC_HS_E/s20/s20_ne_02/reg_image17581713.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_02/reg_image17581727.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_02/reg_image17581744.jpg,smic_20
smic,20,s20_ne_02,0,17581713,17581728,17581744,smic/HS_long/SMIC_HS_E/s20/s20_ne_02/reg_image17581713.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_02/reg_image17581728.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_02/reg_image17581744.jpg,smic_20
smic,20,s20_ne_02,0,17581713,17581730,17581744,smic/HS_long/SMIC_HS_E/s20/s20_ne_02/reg_image17581713.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_02/reg_image17581730.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_02/reg_image17581744.jpg,smic_20
smic,20,s20_ne_02,0,17581713,17581731,17581744,smic/HS_long/SMIC_HS_E/s20/s20_ne_02/reg_image17581713.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_02/reg_image17581731.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_02/reg_image17581744.jpg,smic_20
smic,20,s20_ne_03,0,17625391,17625407,17625424,smic/HS_long/SMIC_HS_E/s20/s20_ne_03/reg_image17625391.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_03/reg_image17625407.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_03/reg_image17625424.jpg,smic_20
smic,20,s20_ne_03,0,17625391,17625408,17625424,smic/HS_long/SMIC_HS_E/s20/s20_ne_03/reg_image17625391.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_03/reg_image17625408.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_03/reg_image17625424.jpg,smic_20
